ma_ck,ngay,nam,ten_cong_ty,san_giao_dich,nganh,phan_nganh_gics_chuan,tong_tai_san,tai_san_ngan_han,tien_mat,hang_ton_kho,no_ngan_han,tong_no_phai_tra,von_chu_so_huu,loi_nhuan_sau_thue,ebit,doanh_thu_thuan,doanh_thu_tai_chinh,loi_nhuan_gop,chi_phi_lai_vay,gia_von_hang_ban,chi_phi_quan_ly_ban_hang,dong_tien_kd,dong_tien_dt,dong_tien_tc,roa,von_chu_so_huu_safe,roe,no_tong_tai_san,no_von_chu_so_huu,tt_hien_han,tt_nhanh,kha_nang_tra_lai,dong_tien_tren_no,quy_mo_dn,diem_rui_ro,target,roa_tre1,roe_tre1,tt_hien_han_tre1,tt_nhanh_tre1,no_tong_tai_san_tre1,no_von_chu_so_huu_tre1,kha_nang_tra_lai_tre1,dong_tien_tren_no_tre1,quy_mo_dn_tre1,xac_suat,trang_thai
CHP,2021-12-31 00:00:00,2021,Thủy điện Miền Trung,Ho Chi Minh Securities Trading Centre,"điện, nước và xăng dầu khí đốt",,3.27E+12,3.95E+11,91038683484,6619059170,3.25E+11,1.38E+12,1.89E+12,2.42E+11,3.66E+11,7.87E+11,3915149699,4E+11,1.12E+11,3.87E+11,9835654351,-8651381831,-4.85E+11,3.15E+11,0.074006116,1.89E+12,0.128042328,0.422018349,0.73015873,1.215384615,1.195018279,3.267857143,-0.026619636,8.092545264,7.659999847,0,0.078753541,0.147089947,1.204244032,1.184481907,0.464589235,0.867724868,3.181818182,-0.403183024,8.16905315,0.076570831,An toàn
CHP,2022-12-31 00:00:00,2022,Thủy điện Miền Trung,Ho Chi Minh Securities Trading Centre,"điện, nước và xăng dầu khí đốt",,3.26E+12,6.28E+11,2.51E+11,13610572204,4.58E+11,1.26E+12,2E+12,5.1E+11,6.18E+11,1.1E+12,7131983962,6.62E+11,90239078797,4.39E+11,17055823736,-22896693095,-5.12E+11,6.95E+11,0.156441718,2E+12,0.255,0.386503067,0.63,1.371179039,1.341461633,6.848474167,-0.04999278,8.089482474,23.48999977,0,0.074006116,0.128042328,1.215384615,1.195018279,0.422018349,0.73015873,3.267857143,-0.026619636,8.092545264,0.234895632,An toàn
CHP,2023-12-31 00:00:00,2023,Thủy điện Miền Trung,Ho Chi Minh Securities Trading Centre,"điện, nước và xăng dầu khí đốt",,2.97E+12,5.73E+11,1.13E+11,4979737614,4.33E+11,1.03E+12,1.94E+12,3.37E+11,4.3E+11,8.81E+11,10840724394,4.69E+11,74811464349,4.12E+11,15342687023,-14560599975,-6E+11,4.77E+11,0.113468013,1.94E+12,0.17371134,0.346801347,0.530927835,1.323325635,1.311825086,5.747782158,-0.033627252,7.996317232,25.67000008,0,0.156441718,0.255,1.371179039,1.341461633,0.386503067,0.63,6.848474167,-0.04999278,8.089482474,0.256688178,An toàn
CHP,2024-12-31 00:00:00,2024,Thủy điện Miền Trung,Ho Chi Minh Securities Trading Centre,"điện, nước và xăng dầu khí đốt",,2.7E+12,5.25E+11,1.98E+11,4207653751,3.22E+11,7.08E+11,1.99E+12,3.14E+11,3.8E+11,8.14E+11,6235558324,4.21E+11,48013227144,3.93E+11,14506301379,1191195470,-5.76E+11,6.6E+11,0.116296296,1.99E+12,0.157788945,0.262222222,0.355778894,1.630434783,1.617367535,7.914485707,0.003699365,7.901007052,29.87999916,0,0.113468013,0.17371134,1.323325635,1.311825086,0.346801347,0.530927835,5.747782158,-0.033627252,7.996317232,0.298837095,An toàn
CIA,2019-12-31 00:00:00,2019,DV Sân Bay Cam Ranh,Hanoi Stock Exchange,hàng và dịch vụ công nghiệp,,4.69E+11,2.63E+11,83415581712,6667674358,67576248946,76171104710,3.93E+11,29108195846,36358217981,2.93E+11,5492022351,80818875965,-1296083425,2.12E+11,43285863201,-64533762830,59896191040,25273208526,0.062064383,3.93E+11,0.074066656,0.162411737,0.193819605,3.891899952,3.793231048,-28.05237478,-0.95497699,6.150602768,24.20999908,0,0.097822738,0.130658342,3.480212085,3.406072609,0.251290596,0.335639887,-83.25865223,-1.008847042,5.945420609,0.242135942,An toàn
CIA,2020-12-31 00:00:00,2020,DV Sân Bay Cam Ranh,Hanoi Stock Exchange,hàng và dịch vụ công nghiệp,,4.08E+11,2.14E+11,66352935659,5374803519,77849228273,90771503242,3.17E+11,-46994680192,-43570994677,1.01E+11,8895209193,-13503384927,-5663819081,1.14E+11,28939794922,7751758129,-2490008314,-22300895201,-0.11518304,3.17E+11,-0.148248202,0.222479175,0.286345436,2.748903294,2.679862102,7.692864842,0.099573988,6.011267174,36.52999878,0,0.062064383,0.074066656,3.891899952,3.793231048,0.162411737,0.193819605,-28.05237478,-0.95497699,6.150602768,0.365277916,An toàn
CIA,2021-12-31 00:00:00,2021,DV Sân Bay Cam Ranh,Hanoi Stock Exchange,hàng và dịch vụ công nghiệp,,3.32E+11,1.57E+11,23294057128,10463081856,61135291512,74044144224,2.58E+11,-50406991585,-51138346490,41594673926,5153359044,-13503384927,-1735351784,68610618302,22991187999,11556410412,-29324807291,-25290170534,-0.151828288,2.58E+11,-0.195375936,0.223024531,0.286992807,2.568074775,2.396928427,29.46857632,0.189030102,5.805134969,65.91000366,0,-0.11518304,-0.148248202,2.748903294,2.679862102,0.222479175,0.286345436,7.692864842,0.099573988,6.011267174,0.659136117,Cảnh báo
CIA,2022-12-31 00:00:00,2022,DV Sân Bay Cam Ranh,Hanoi Stock Exchange,hàng và dịch vụ công nghiệp,,3.37E+11,2.7E+11,24407352951,3723793880,11610114668,13260038132,3.24E+11,59489118798,-22522813226,1.06E+11,88156201770,3077398372,-85134998519,1.03E+11,24751365093,-24670952004,62157657312,-36324410065,0.176525575,3.24E+11,0.183608391,0.039347294,0.040926044,23.25558427,22.93484722,0.264554104,-2.124953345,5.82008293,65.91000366,0,-0.151828288,-0.195375936,2.568074775,2.396928427,0.223024531,0.286992807,29.46857632,0.189030102,5.805134969,0.659136117,Cảnh báo
CIA,2023-12-31 00:00:00,2023,DV Sân Bay Cam Ranh,Hanoi Stock Exchange,hàng và dịch vụ công nghiệp,,3.4E+11,2.71E+11,5895056412,4265141664,12791278781,13934102231,3.26E+11,5487667919,-7901065343,94267289222,11155403834,18006878097,-11155403834,76260411125,25500295753,-9219718669,-150721300,-9144925940,0.0161402,3.26E+11,0.016833337,0.040982654,0.042742645,21.18631019,20.85286881,0.708272462,-0.720781622,5.828945618,0.029999999,0,0.176525575,0.183608391,23.25558427,22.93484722,0.039347294,0.040926044,0.264554104,-2.124953345,5.82008293,0.000263821,An toàn
CIA,2024-12-31 00:00:00,2024,DV Sân Bay Cam Ranh,Hanoi Stock Exchange,hàng và dịch vụ công nghiệp,,3.49E+11,2.86E+11,38265229872,5240289646,17979791117,18991235119,3.3E+11,4523878505,-1796863877,1.23E+11,9143485954,34374869095,-9143485954,88732103393,35591053231,34515370370,-897750,-2196997834,0.012962403,3.3E+11,0.013708723,0.054416146,0.057549197,15.90674764,15.61529322,0.196518471,1.919675826,5.855071922,17.39999962,0,0.0161402,0.016833337,21.18631019,20.85286881,0.040982654,0.042742645,0.708272462,-0.720781622,5.828945618,0.17404367,An toàn
