ma_ck,ngay,nam,ten_cong_ty,san_giao_dich,nganh,phan_nganh_gics_chuan,tong_tai_san,tai_san_ngan_han,tien_mat,hang_ton_kho,no_ngan_han,tong_no_phai_tra,von_chu_so_huu,loi_nhuan_sau_thue,ebit,doanh_thu_thuan,doanh_thu_tai_chinh,loi_nhuan_gop,chi_phi_lai_vay,gia_von_hang_ban,chi_phi_quan_ly_ban_hang,dong_tien_kd,dong_tien_dt,dong_tien_tc,roa,von_chu_so_huu_safe,roe,no_tong_tai_san,no_von_chu_so_huu,tt_hien_han,tt_nhanh,kha_nang_tra_lai,dong_tien_tren_no,quy_mo_dn,diem_rui_ro,target,roa_tre1,roe_tre1,tt_hien_han_tre1,tt_nhanh_tre1,no_tong_tai_san_tre1,no_von_chu_so_huu_tre1,kha_nang_tra_lai_tre1,dong_tien_tren_no_tre1,quy_mo_dn_tre1,xac_suat,trang_thai
AAA,2019-12-31 00:00:00,2019,An Phát Bioplastics,Ho Chi Minh Securities Trading Centre,hóa chất,,7.99E+12,4.97E+12,2.92E+11,1.22E+12,3.24E+12,4.73E+12,3.26E+12,4.91E+11,6.78E+11,9.26E+12,1.19E+11,1.04E+12,1.06E+11,8.22E+12,2.53E+11,-9.4E+11,17309999717,5.69E+11,0.061451815,3.26E+12,0.150613497,0.591989987,1.450920245,1.533950617,1.157407407,6.396226415,-0.290123457,8.985946039,13.52999973,0,0.02815405,0.07114094,1.242990654,0.974143302,0.604249668,1.526845638,4.486237576,-0.825545171,8.926650321,0.135262027,An toàn
AAA,2020-12-31 00:00:00,2020,An Phát Bioplastics,Ho Chi Minh Securities Trading Centre,hóa chất,,8.57E+12,4.5E+12,9.64E+11,9.47E+11,3.77E+12,4.55E+12,4.02E+12,2.83E+11,3.54E+11,7.43E+12,1.3E+11,7.77E+11,71449295875,6.65E+12,3E+11,-1.01E+11,25588860731,7.48E+11,0.03302217,4.02E+12,0.07039801,0.53092182,1.131840796,1.193633952,0.942440318,4.954562472,-0.026790451,9.056023012,8.409999847,0,0.061451815,0.150613497,1.533950617,1.157407407,0.591989987,1.450920245,6.396226415,-0.290123457,8.985946039,0.084062971,An toàn
AAA,2021-12-31 00:00:00,2021,An Phát Bioplastics,Ho Chi Minh Securities Trading Centre,hóa chất,,1E+13,5.35E+12,1.99E+12,9.97E+11,3.28E+12,4.56E+12,5.45E+12,3.24E+11,3.68E+11,1.31E+13,1.08E+11,1.3E+12,43643626423,1.18E+13,7.86E+11,-2.96E+11,7.39E+11,5.9E+11,0.0324,5.45E+12,0.059449541,0.456,0.836697248,1.631097561,1.327134146,8.431929933,-0.090243902,9.210340372,73.26999664,0,0.03302217,0.07039801,1.193633952,0.942440318,0.53092182,1.131840796,4.954562472,-0.026790451,9.056023012,0.732664049,Nguy cơ cao
AAA,2022-12-31 00:00:00,2022,An Phát Bioplastics,Ho Chi Minh Securities Trading Centre,hóa chất,,1.08E+13,5.66E+12,1.64E+12,1.79E+12,3.21E+12,4.62E+12,6.17E+12,1.17E+11,1.73E+11,1.53E+13,1.01E+11,1.09E+12,72999828101,1.42E+13,7.47E+11,-1.18E+12,6.31E+11,1.8E+11,0.010833333,6.17E+12,0.018962723,0.427777778,0.748784441,1.763239875,1.205607477,2.369868594,-0.367601246,9.287301413,68.80999756,0,0.0324,0.059449541,1.631097561,1.327134146,0.456,0.836697248,8.431929933,-0.090243902,9.210340372,0.688110173,Cảnh báo
AAA,2023-12-31 00:00:00,2023,An Phát Bioplastics,Ho Chi Minh Securities Trading Centre,hóa chất,,1.16E+13,5.68E+12,2.44E+12,7.82E+11,3.74E+12,5.62E+12,5.96E+12,3.09E+11,3.12E+11,1.26E+13,1.76E+11,1.11E+12,14260688663,1.15E+13,5.66E+11,-1.77E+12,-2.36E+11,2.79E+12,0.026637931,5.96E+12,0.051845638,0.484482759,0.94295302,1.518716578,1.309625668,21.87832631,-0.473262032,9.358760377,40.65999985,0,0.010833333,0.018962723,1.763239875,1.205607477,0.427777778,0.748784441,2.369868594,-0.367601246,9.287301413,0.40657711,Cảnh báo
AAA,2024-12-31 00:00:00,2024,An Phát Bioplastics,Ho Chi Minh Securities Trading Centre,hóa chất,,1.38E+13,6.43E+12,2.42E+12,1.29E+12,4.13E+12,7.53E+12,6.24E+12,3.2E+11,3.87E+11,1.28E+13,1.08E+11,1.48E+12,51466275587,1.13E+13,8.21E+11,-1.58E+12,4.23E+11,1.13E+12,0.023188406,6.24E+12,0.051282051,0.545652174,1.206730769,1.556900726,1.244552058,7.51948719,-0.382566586,9.532423871,51.90000153,0,0.026637931,0.051845638,1.518716578,1.309625668,0.484482759,0.94295302,21.87832631,-0.473262032,9.358760377,0.51895225,Cảnh báo
AAM,2019-12-31 00:00:00,2019,Thủy sản Mekong,Ho Chi Minh Securities Trading Centre,thực phẩm và đồ uống,,2.28E+11,1.86E+11,13793393220,1.12E+11,15017457297,16092542851,2.11E+11,8308840156,1870738005,2.16E+11,4040548906,21139498675,-3890760336,1.95E+11,14523056745,31815052599,-7579594300,-21743310702,0.036442281,2.11E+11,0.039378389,0.070581328,0.076267976,12.38558541,4.927598497,-0.480815533,2.11853791,5.429345629,21.54000092,0,0.041701003,0.045241654,12.13514063,7.859018805,0.079478182,0.08622633,-0.625204028,0.767961289,5.438079309,0.215439454,An toàn
AAM,2020-12-31 00:00:00,2020,Thủy sản Mekong,Ho Chi Minh Securities Trading Centre,thực phẩm và đồ uống,,2.11E+11,1.71E+11,26258747855,1.19E+11,15503668591,16718282839,1.94E+11,-11967345859,-15798788198,1.21E+11,1698416976,146997282,-1482522531,1.21E+11,10969811469,31179048821,2357536202,-21140903222,-0.056717279,1.94E+11,-0.06168735,0.079233568,0.086176716,11.02964753,3.354044863,10.65669349,2.011075549,5.351858133,22.15999985,0,0.036442281,0.039378389,12.38558541,4.927598497,0.070581328,0.076267976,-0.480815533,2.11853791,5.429345629,0.221636802,An toàn
AAM,2021-12-31 00:00:00,2021,Thủy sản Mekong,Ho Chi Minh Securities Trading Centre,thực phẩm và đồ uống,,2.01E+11,1.63E+11,61812295456,84836260629,5544333271,6761017862,1.94E+11,225510011,-5064728149,1.34E+11,571580540,7471858946,-471641224,1.27E+11,8726631415,-2746072727,-7583127202,45770863911,0.00112194,1.94E+11,0.001162423,0.033636905,0.034850608,29.39938709,14.09795111,10.7385188,-0.495293589,5.303304908,23.86000061,0,-0.056717279,-0.06168735,11.02964753,3.354044863,0.079233568,0.086176716,10.65669349,2.011075549,5.351858133,0.238647625,An toàn
AAM,2022-12-31 00:00:00,2022,Thủy sản Mekong,Ho Chi Minh Securities Trading Centre,thực phẩm và đồ uống,,2.19E+11,1.81E+11,10250896174,1.02E+11,7937231960,9043271702,2.1E+11,16899756334,7148130370,2.12E+11,2938768781,27260932483,-2938768781,1.85E+11,14932498587,-50217643736,0,-1806412842,0.077167837,2.1E+11,0.08047503,0.041293478,0.043063199,22.80391967,9.95309201,-2.432355487,-6.326845932,5.38907173,50.43000031,0,0.00112194,0.001162423,29.39938709,14.09795111,0.033636905,0.034850608,10.7385188,-0.495293589,5.303304908,0.504339576,Cảnh báo
AAM,2023-12-31 00:00:00,2023,Thủy sản Mekong,Ho Chi Minh Securities Trading Centre,thực phẩm và đồ uống,,2.13E+11,1.74E+11,22888984646,1.27E+11,9148047007,10221544787,2.03E+11,703150885,-9057818611,1.37E+11,2722744709,901585272,-2722744709,1.36E+11,6144951458,39627080000,-7315827400,-19856172256,0.003301178,2.03E+11,0.003463797,0.047988473,0.050352437,19.0204532,5.137708624,3.326723428,4.331752993,5.361292166,0.039999999,0,0.077167837,0.08047503,22.80391967,9.95309201,0.041293478,0.043063199,-2.432355487,-6.326845932,5.38907173,0.000418603,An toàn
AAM,2024-12-31 00:00:00,2024,Thủy sản Mekong,Ho Chi Minh Securities Trading Centre,thực phẩm và đồ uống,,2.02E+11,1.66E+11,62696698955,89003722128,4931214445,6013144141,1.96E+11,-6295683732,-6498466549,1.53E+11,630794002,4359664475,-630794002,1.49E+11,7442035612,4895000000,0,34592145787,-0.031166751,1.96E+11,-0.032120835,0.02976804,0.030679307,33.6631071,15.61405993,10.30204239,0.99265608,5.308267697,7.179999828,0,0.003301178,0.003463797,19.0204532,5.137708624,0.047988473,0.050352437,3.326723428,4.331752993,5.361292166,0.071823768,An toàn
AAT,2019-12-31 00:00:00,2019,Tập đoàn Tiên Sơn Thanh Hóa,Ho Chi Minh Securities Trading Centre,hàng cá nhân và gia dụng,,6.01E+11,1.49E+11,5126341358,24336367715,71344009351,1.9E+11,4.11E+11,21147090794,33284358729,2.96E+11,1769881759,43149415943,8676300084,2.53E+11,9344913967,-10115704073,-24093088154,32481772951,0.035186507,4.11E+11,0.051452776,0.316139767,0.462287105,2.088472478,1.747359497,3.836238766,-0.141787715,6.398594935,40.65999985,0,0.040455248,0.061512723,1.536896865,1.306461699,0.34232715,0.520512821,5.802128974,-0.362840472,6.385194399,0.40657711,Cảnh báo
AAT,2020-12-31 00:00:00,2020,Tập đoàn Tiên Sơn Thanh Hóa,Ho Chi Minh Securities Trading Centre,hàng cá nhân và gia dụng,,5.8E+11,1.73E+11,19726020423,16993740870,92181891828,1.55E+11,4.25E+11,14038467792,23832480054,2.87E+11,415189461,36097218110,10130591261,2.51E+11,9946758246,35194515236,-21675407017,1080430353,0.024204255,4.25E+11,0.033031689,0.267241379,0.364705882,1.876724339,1.69237424,2.352526071,0.381794239,6.363028104,82.59999847,0,0.035186507,0.051452776,2.088472478,1.747359497,0.316139767,0.462287105,3.836238766,-0.141787715,6.398594935,0.8259601,Nguy cơ cao
AAT,2021-12-31 00:00:00,2021,Tập đoàn Tiên Sơn Thanh Hóa,Ho Chi Minh Securities Trading Centre,hàng cá nhân và gia dụng,,9.77E+11,3.43E+11,93316439908,17819372760,1.16E+11,3.08E+11,6.69E+11,28027696806,41594828890,4.73E+11,1103229507,57941255766,9525399422,4.15E+11,14790413199,-2.97E+11,3.22E+11,48357088388,0.02868751,6.69E+11,0.041894913,0.315250768,0.46038864,2.956896552,2.803281269,4.366728055,-2.560344828,6.884486652,65.51999664,0,0.024204255,0.033031689,1.876724339,1.69237424,0.267241379,0.364705882,2.352526071,0.381794239,6.363028104,0.655168653,Cảnh báo
AAT,2022-12-31 00:00:00,2022,Tập đoàn Tiên Sơn Thanh Hóa,Ho Chi Minh Securities Trading Centre,hàng cá nhân và gia dụng,,1.03E+12,4.44E+11,15812579609,14106487540,2.13E+11,3.22E+11,7.1E+11,67633771286,1.12E+11,9.62E+11,205584473,1.31E+11,19022820416,8.31E+11,18448196218,1.48E+11,12975799828,-2.38E+11,0.065663856,7.1E+11,0.095258833,0.312621359,0.453521127,2.084507042,2.018279401,5.887665317,0.694835681,6.937314081,72.31999969,0,0.02868751,0.041894913,2.956896552,2.803281269,0.315250768,0.46038864,4.366728055,-2.560344828,6.884486652,0.72322619,Nguy cơ cao
AAT,2023-12-31 00:00:00,2023,Tập đoàn Tiên Sơn Thanh Hóa,Ho Chi Minh Securities Trading Centre,hàng cá nhân và gia dụng,,1.01E+12,4.68E+11,2079219084,27578288832,2.28E+11,3.04E+11,7.08E+11,-2466576299,29598729006,5.99E+11,2498754473,47121459964,20848186026,5.52E+11,16934473831,-38000000000,-18952205167,43379081058,-0.002442155,7.08E+11,-0.003483865,0.300990099,0.429378531,2.052631579,1.931674172,1.419726828,-0.166666667,6.91770561,29.98999977,0,0.065663856,0.095258833,2.084507042,2.018279401,0.312621359,0.453521127,5.887665317,0.694835681,6.937314081,0.299865156,An toàn
AAT,2024-12-31 00:00:00,2024,Tập đoàn Tiên Sơn Thanh Hóa,Ho Chi Minh Securities Trading Centre,hàng cá nhân và gia dụng,,1.33E+12,3.38E+11,11510430120,13269530449,2E+11,6.09E+11,7.25E+11,-8311081313,7077061652,5.83E+11,6690610681,52776220545,13978365937,5.3E+11,44741025416,33346077084,42348981428,-66267166938,-0.006248933,7.25E+11,-0.01146356,0.457894737,0.84,1.69,1.623652348,0.506286764,0.166730385,7.192934221,81.79000092,1,-0.002442155,-0.003483865,2.052631579,1.931674172,0.300990099,0.429378531,1.419726828,-0.166666667,6.91770561,0.817883313,Nguy cơ cao
AAV,2019-12-31 00:00:00,2019,Việt Tiên Sơn Địa ốc,Hanoi Stock Exchange,bất động sản,,5.89E+11,3.41E+11,19757069423,24245274352,1.61E+11,2.16E+11,3.73E+11,30804265918,42408747158,5.47E+11,2109286390,57339529085,2123202997,4.9E+11,9784634696,-81299660000,1.54E+11,-72159257228,0.052299263,3.73E+11,0.082585163,0.36672326,0.579088472,2.118012422,1.967420656,19.97394843,-0.504966832,6.378426184,18.62000084,0,0.094271487,0.184753166,1.255172414,1.057890915,0.48974359,0.959798995,148.6517867,0.088102194,5.966146739,0.186216265,An toàn
AAV,2020-12-31 00:00:00,2020,Việt Tiên Sơn Địa ốc,Hanoi Stock Exchange,bất động sản,,6.01E+11,3.42E+11,3024779884,18519846756,1.57E+11,2.13E+11,3.87E+11,14382292014,8600605733,3.24E+11,13816063231,31419721979,-9443590424,2.92E+11,16665393923,-5026732867,11565102894,-23270867135,0.023930602,3.87E+11,0.037163545,0.354409318,0.550387597,2.178343949,2.060383142,-0.910734726,-0.032017407,6.398594935,22.82999992,0,0.052299263,0.082585163,2.118012422,1.967420656,0.36672326,0.579088472,19.97394843,-0.504966832,6.378426184,0.228324667,An toàn
AAV,2021-12-31 00:00:00,2021,Việt Tiên Sơn Địa ốc,Hanoi Stock Exchange,bất động sản,,9.92E+11,6.62E+11,2213058463,13930491386,1.33E+11,1.85E+11,8.07E+11,30173648207,37873543544,5.01E+11,4705364373,50961466996,-1426449210,4.5E+11,6735845001,17109453700,3.49E+11,-3.67E+11,0.030416984,8.07E+11,0.037389899,0.186491935,0.229244114,4.977443609,4.872703072,-26.55092328,0.128642509,6.899723107,65.91000366,0,0.023930602,0.037163545,2.178343949,2.060383142,0.354409318,0.550387597,-0.910734726,-0.032017407,6.398594935,0.659136117,Cảnh báo
AAV,2022-12-31 00:00:00,2022,Việt Tiên Sơn Địa ốc,Hanoi Stock Exchange,bất động sản,,1.08E+12,7.5E+11,2442273584,9713715449,2.19E+11,2.71E+11,8.09E+11,3516456338,11672657377,4.96E+11,1946085812,39948163620,4728983996,4.57E+11,10941685091,-65728926604,93963234588,-28005092862,0.003255978,8.09E+11,0.00434667,0.250925926,0.334981459,3.424657534,3.380302669,2.468322453,-0.300132085,6.98471632,61.86000061,0,0.030416984,0.037389899,4.977443609,4.872703072,0.186491935,0.229244114,-26.55092328,0.128642509,6.899723107,0.618577003,Cảnh báo
AAV,2023-12-31 00:00:00,2023,Việt Tiên Sơn Địa ốc,Hanoi Stock Exchange,bất động sản,,9.18E+11,6.69E+11,437495089,6475941593,87391860712,1.38E+11,7.8E+11,-17328079341,-15730272891,73112403857,3119984002,3214495149,2144464532,69897908708,8474455364,998289500,-35839632414,32836564419,-0.018875903,7.8E+11,-0.022215486,0.150326797,0.176923077,7.655175145,7.581072803,-7.335291704,0.01142314,6.822197391,44.38999939,1,0.003255978,0.00434667,3.424657534,3.380302669,0.250925926,0.334981459,2.468322453,-0.300132085,6.98471632,0.443888843,Cảnh báo
AAV,2024-12-31 00:00:00,2024,Việt Tiên Sơn Địa ốc,Hanoi Stock Exchange,bất động sản,,9.34E+11,5.69E+11,7794104640,2832728337,1.15E+11,1.68E+11,7.66E+11,-15755563834,-16972015254,38485998242,4098279690,-92416540,-3785903398,38578414782,6179612028,-2.14E+11,7575317000,2.14E+11,-0.016868912,7.66E+11,-0.020568621,0.17987152,0.219321149,4.947826087,4.923193667,4.482949899,-1.860869565,6.839476438,19.56999969,0,-0.018875903,-0.022215486,7.655175145,7.581072803,0.150326797,0.176923077,-7.335291704,0.01142314,6.822197391,0.19568193,An toàn
ABR,2019-12-31 00:00:00,2019,Đầu tư Nhãn Hiệu Việt,Ho Chi Minh Securities Trading Centre,hàng và dịch vụ công nghiệp,,2.58E+11,1.71E+11,1.03E+11,273732408,44497062088,46721722870,2.12E+11,8398405939,8814781943,27047585936,2159503491,12227170114,-2099599671,14820415822,2553956895,7605183398,1.68E+11,-73921666582,0.032551961,2.12E+11,0.039615122,0.181091949,0.220385485,3.842950343,3.836798646,-4.198315548,0.170914282,5.552959585,12.43000031,0,0.045211705,0.051830184,8.640598674,7.591514051,0.082439995,0.094508272,20.57664356,5.014395436,3.642575786,0.124326199,An toàn
ABR,2020-12-31 00:00:00,2020,Đầu tư Nhãn Hiệu Việt,Ho Chi Minh Securities Trading Centre,hàng và dịch vụ công nghiệp,,2.82E+11,1.99E+11,96688779310,1568254608,43077671349,46002480531,2.36E+11,24728636392,22679188373,98258258741,7027058324,52744576822,-7027058324,45513681919,23197938245,-33560080255,0,27457573135,0.0876902,2.36E+11,0.104782358,0.163129364,0.194925765,4.619562613,4.583157334,-3.227408587,-0.779059759,5.641907071,65.91000366,0,0.032551961,0.039615122,3.842950343,3.836798646,0.181091949,0.220385485,-4.198315548,0.170914282,5.552959585,0.659136117,Cảnh báo
ABR,2021-12-31 00:00:00,2021,Đầu tư Nhãn Hiệu Việt,Ho Chi Minh Securities Trading Centre,hàng và dịch vụ công nghiệp,,3.13E+11,2.37E+11,49272857602,407812936,52752149490,56749743771,2.56E+11,19324742565,16835262309,91154043167,6339716436,44483830851,-6339716436,46670212316,20781118338,-64679973986,0,17264052278,0.061740392,2.56E+11,0.075487276,0.181309086,0.221678687,4.492707924,4.484977188,-2.655522921,-1.226110682,5.746203191,28.76000023,0,0.0876902,0.104782358,4.619562613,4.583157334,0.163129364,0.194925765,-3.227408587,-0.779059759,5.641907071,0.287609845,An toàn
ABR,2022-12-31 00:00:00,2022,Đầu tư Nhãn Hiệu Việt,Ho Chi Minh Securities Trading Centre,hàng và dịch vụ công nghiệp,,3.72E+11,1.96E+11,21399865883,419821256,82428749105,87026800886,2.85E+11,29390746456,28249452442,1.04E+11,10140720661,53096042917,-10140720661,51082548292,17981954055,-81379097890,0,53506106171,0.079007383,2.85E+11,0.103125426,0.233943013,0.305357196,2.377811166,2.372718025,-2.78574407,-0.987265957,5.918893854,26.68000031,0,0.061740392,0.075487276,4.492707924,4.484977188,0.181309086,0.221678687,-2.655522921,-1.226110682,5.746203191,0.26679188,An toàn
ABR,2023-12-31 00:00:00,2023,Đầu tư Nhãn Hiệu Việt,Ho Chi Minh Securities Trading Centre,hàng và dịch vụ công nghiệp,,3.84E+11,1.74E+11,3368002514,0,50640776335,67943209116,3.16E+11,30982405215,8119135138,53676044563,21640541369,33262134698,-21640541369,20413909865,18275549356,-42143815046,0,24111951677,0.080683347,3.16E+11,0.098045586,0.17693544,0.215010155,3.435966282,3.435966282,-0.375181702,-0.832211078,5.950642553,25.28000069,0,0.079007383,0.103125426,2.377811166,2.372718025,0.233943013,0.305357196,-2.78574407,-0.987265957,5.918893854,0.252803475,An toàn
ABR,2024-12-31 00:00:00,2024,Đầu tư Nhãn Hiệu Việt,Ho Chi Minh Securities Trading Centre,hàng và dịch vụ công nghiệp,,3.55E+11,1.97E+11,46274090598,0,46888600505,58905205606,2.96E+11,19737903181,10824401613,24896355359,16264451768,21464476134,-16264451768,3865389804,3772624317,60800880971,-40000000000,22105207113,0.055599727,2.96E+11,0.066682105,0.165930157,0.199004073,4.201447641,4.201447641,-0.665525144,1.296709228,5.872117789,27.75,0,0.080683347,0.098045586,3.435966282,3.435966282,0.17693544,0.215010155,-0.375181702,-0.832211078,5.950642553,0.277455896,An toàn
ABS,2019-12-31 00:00:00,2019,DV Nông nghiệp Bình Thuận,Ho Chi Minh Securities Trading Centre,hóa chất,,6.63E+11,3.57E+11,1790467927,19813768956,2.59E+11,2.6E+11,4.03E+11,33021177534,38005916902,7.91E+11,15528982093,53783870144,-5328795132,7.37E+11,14657059335,0,-23149859000,24126419683,0.049805698,4.03E+11,0.081938406,0.392156863,0.64516129,1.378378378,1.30187734,-7.132178281,0,6.49677499,33.59000015,0,0.050902698,0.079930994,1.411483254,1.367740343,0.361445783,0.567567568,4.051510453,-0.026504711,6.364750757,0.335934341,An toàn
ABS,2020-12-31 00:00:00,2020,DV Nông nghiệp Bình Thuận,Ho Chi Minh Securities Trading Centre,hóa chất,,1.17E+12,8.64E+11,2555336789,5245755627,7.35E+11,7.35E+11,4.35E+11,47909667474,66924535094,1.1E+12,339707902,83983363806,7796224843,1.02E+12,15948098476,9474484645,2.56E+11,-2.65E+11,0.040948434,4.35E+11,0.110137167,0.628205128,1.689655172,1.175510204,1.168373122,8.584223319,0.012890455,7.064759028,65.91000366,0,0.049805698,0.081938406,1.378378378,1.30187734,0.392156863,0.64516129,-7.132178281,0,6.49677499,0.659136117,Cảnh báo
ABS,2021-12-31 00:00:00,2021,DV Nông nghiệp Bình Thuận,Ho Chi Minh Securities Trading Centre,hóa chất,,1.59E+12,1.28E+12,3143094202,20203291172,6.66E+11,6.67E+11,9.26E+11,65351945620,42705819267,1.2E+12,,58431462035,33363592601,1.14E+12,14752736370,21465612600,5.42E+11,-5.63E+11,0.041101853,9.26E+11,0.070574455,0.419496855,0.720302376,1.921921922,1.89158665,1.280012611,0.03223065,7.371489295,38.83000183,0,0.040948434,0.110137167,1.175510204,1.168373122,0.628205128,1.689655172,8.584223319,0.012890455,7.064759028,0.388335317,An toàn
ABS,2022-12-31 00:00:00,2022,DV Nông nghiệp Bình Thuận,Ho Chi Minh Securities Trading Centre,hóa chất,,1.67E+12,1.36E+12,3560560094,5137609230,7.62E+11,7.64E+11,9.06E+11,22539691244,67668961246,1.61E+12,4657989,87751610949,44257075430,1.52E+12,7790820627,-2399100000,63085417000,-60354172430,0.013496821,9.06E+11,0.024878246,0.45748503,0.843267108,1.784776903,1.778034634,1.52899758,-0.003148425,7.420578905,65.91000366,0,0.041101853,0.070574455,1.921921922,1.89158665,0.419496855,0.720302376,1.280012611,0.03223065,7.371489295,0.659136117,Cảnh báo
ABS,2023-12-31 00:00:00,2023,DV Nông nghiệp Bình Thuận,Ho Chi Minh Securities Trading Centre,hóa chất,,1.58E+12,1.12E+12,1778084645,3740672972,6.64E+11,6.65E+11,9.14E+11,8287009671,-5920415436,1.03E+12,3589398,38697973956,76012867957,9.87E+11,4523870988,3.29E+11,18500844157,-3.5E+11,0.005244943,9.14E+11,0.00906675,0.420886076,0.727571116,1.686746988,1.681113444,-0.077887016,0.495481928,7.365180126,65.91000366,0,0.013496821,0.024878246,1.784776903,1.778034634,0.45748503,0.843267108,1.52899758,-0.003148425,7.420578905,0.659136117,Cảnh báo
ABS,2024-12-31 00:00:00,2024,DV Nông nghiệp Bình Thuận,Ho Chi Minh Securities Trading Centre,hóa chất,,1E+12,9.46E+11,320775149,1867060502,84489045200,85186545200,9.16E+11,2435388079,18883476648,3.96E+11,2065469,6033564784,35960592069,3.9E+11,4418559914,62999927628,-5.33E+11,4.69E+11,0.002435388,9.16E+11,0.002658721,0.085186545,0.092998412,11.19671784,11.17461959,0.525115844,0.745657943,6.907755279,62.40000153,0,0.005244943,0.00906675,1.686746988,1.681113444,0.420886076,0.727571116,-0.077887016,0.495481928,7.365180126,0.624009728,Cảnh báo
ABT,2019-12-31 00:00:00,2019,Thủy sản Bến Tre,Ho Chi Minh Securities Trading Centre,thực phẩm và đồ uống,,5.38E+11,2.59E+11,24874938365,1.62E+11,1.2E+11,1.25E+11,4.13E+11,48695389251,26641680655,3.61E+11,3035824986,54327092856,1652930690,3.07E+11,17584649486,27795371492,-43369282408,10061739300,0.090511876,4.13E+11,0.117906512,0.232342007,0.302663438,2.158333333,0.808333333,16.117845,0.231628096,6.28785856,45.00999832,0,0.124494368,0.158878527,2.405405405,1.297297297,0.21641791,0.276190476,315.8168921,1.072072072,6.284134161,0.450146735,Cảnh báo
ABT,2020-12-31 00:00:00,2020,Thủy sản Bến Tre,Ho Chi Minh Securities Trading Centre,thực phẩm và đồ uống,,5.44E+11,2.58E+11,56635132696,1.55E+11,1.28E+11,1.33E+11,4.11E+11,14288053557,8250649843,3.18E+11,1093722298,37125898759,1824298223,2.81E+11,18240851475,959693625,-88530881,30927553711,0.026264804,4.11E+11,0.034764121,0.244485294,0.323600973,2.015625,0.8046875,4.52264314,0.007497606,6.298949247,28.60000038,0,0.090511876,0.117906512,2.158333333,0.808333333,0.232342007,0.302663438,16.117845,0.231628096,6.28785856,0.286033809,An toàn
ABT,2021-12-31 00:00:00,2021,Thủy sản Bến Tre,Ho Chi Minh Securities Trading Centre,thực phẩm và đồ uống,,5.94E+11,2.95E+11,68066068838,1.77E+11,1.72E+11,1.76E+11,4.19E+11,33793208794,19722875564,3.42E+11,355884980,64776903189,1707957044,2.77E+11,33962220262,-21999812890,18452769800,15142859882,0.056890924,4.19E+11,0.08065205,0.296296296,0.420047733,1.715116279,0.686046512,11.54764145,-0.127905889,6.386879319,65.91000366,0,0.026264804,0.034764121,2.015625,0.8046875,0.244485294,0.323600973,4.52264314,0.007497606,6.298949247,0.659136117,Cảnh báo
ABT,2022-12-31 00:00:00,2022,Thủy sản Bến Tre,Ho Chi Minh Securities Trading Centre,thực phẩm và đồ uống,,6.23E+11,3E+11,1.27E+11,1.08E+11,1.48E+11,1.52E+11,4.71E+11,64289101233,55437547948,6.17E+11,2358562311,1.17E+11,847480481,5E+11,46648461944,-37561075887,-53846524669,1.52E+11,0.103192779,4.71E+11,0.136494907,0.243980738,0.322717622,2.027027027,1.297297297,65.41454251,-0.253791053,6.434546519,67.52999878,0,0.056890924,0.08065205,1.715116279,0.686046512,0.296296296,0.420047733,11.54764145,-0.127905889,6.386879319,0.675322115,Cảnh báo
ABT,2023-12-31 00:00:00,2023,Thủy sản Bến Tre,Ho Chi Minh Securities Trading Centre,thực phẩm và đồ uống,,6.51E+11,3.38E+11,11064446214,91616087602,1.57E+11,1.61E+11,4.91E+11,63871593981,47448784649,5.33E+11,6751207480,83591327478,-1851296023,4.49E+11,24207231297,-1.73E+11,-23935738253,80190593086,0.098113048,4.91E+11,0.130084713,0.247311828,0.32790224,2.152866242,1.569324283,-25.6300365,-1.101910828,6.478509642,20.15999985,0,0.103192779,0.136494907,2.027027027,1.297297297,0.243980738,0.322717622,65.41454251,-0.253791053,6.434546519,0.201585054,An toàn
ABT,2024-12-31 00:00:00,2024,Thủy sản Bến Tre,Ho Chi Minh Securities Trading Centre,thực phẩm và đồ uống,,7.74E+11,4.43E+11,57640310341,1.22E+11,1.96E+11,2.11E+11,5.63E+11,1.01E+11,86588786266,5.83E+11,10200812404,1.3E+11,-6430746782,4.54E+11,29983330312,-69377939634,7699343030,1.08E+11,0.130490956,5.63E+11,0.179396092,0.272609819,0.374777975,2.260204082,1.637755102,-13.46481042,-0.35396908,6.651571874,17.96999931,0,0.098113048,0.130084713,2.152866242,1.569324283,0.247311828,0.32790224,-25.6300365,-1.101910828,6.478509642,0.179695651,An toàn
ACC,2019-12-31 00:00:00,2019,Đầu tư và XD Bình Dương ACC,Ho Chi Minh Securities Trading Centre,xây dựng và vật liệu,,4.97E+11,3.82E+11,1.32E+11,78330279824,2.03E+11,2.48E+11,2.49E+11,45862526564,51303904354,4.74E+11,2977257879,89676490792,-839385586,3.84E+11,18641605420,-4916635791,55275076381,26565726119,0.092278725,2.49E+11,0.184186854,0.498993964,0.995983936,1.881773399,1.495909952,-61.12078312,-0.024219881,6.208590026,23.70999908,0,0.090667526,0.143426647,2.317460317,1.134920635,0.367847411,0.581896552,-47.8937326,-0.062643733,5.905361848,0.237101465,An toàn
